Sudeendhra Location,Care Location ID,Remarks,Floor,
ENDOSCOPY,f4ca25f5-1a03-4589-8b23-17931f29547f,,2,
DP WORLD PHARMACY,,,-,
AYURVEDA,,,-,
DR.VINOD PADMANABHAN,aaf16c1a-f089-45d7-b6f5-f5690919300c,,0,
DR.SARASWATHY,465ccc99-c6f5-4926-a022-b94a2792b993,,1,
DR.REMANI PHILIP,985291b7-cddb-476d-812c-0fa8bcbe50fa,,1,
"ENT OP (Dr sachin-2, Dr Arun- 1)",,,"1, 2",
EYE OP,,,1,
DR.MAHESH THAMPI,2e780ee0-0e53-4949-80d4-5556af81f968,,1,
DR.KRISHNAMOORTHY,,,-,
DR.RAMESH BHAT,db059185-8a51-4904-b584-65514b3b0470,,1,
DR.T.L.P.PRABHU,,,-,
CCU/POP,4a40726d-7ee0-4e2e-b366-8535e03ec420,,2,
MEDICAL RECORDS,8d243642-2969-4d06-8ec4-e20ef27e9c12,,3,
BIOMEDICAL,f2edc451-de65-4c10-a221-08c2a7f16dd1,,4,
THIRD FLOOR,e06e383f-d31f-4e8e-8a0b-47682090b042,,,
FOURTH FLOOR,e7968d0c-709a-401e-89b5-6e427032f0d1,,,
RHUEMATOLOGY 1,b413560a-770c-4ce5-908b-541f1c004171,,1,
RHUEMATOLOGY 2,1e3ecc7a-71d7-4030-801e-71f5bc979014,,2,
EYE OT,c51b81f3-36ba-431c-9f72-5226c8a93418,,1,
PHYSIOTHERAPY,05d2140d-ac9a-4d51-87b4-545f72db48e8,,2,
SECOND OLD,,,,
SECOND NEW,,,,
MINNOR OT,,,1,
CCU,,,0,
ECG,,,0,
CLEANING LOCATION,,,,
DR.JOY POOTHOKARAN,,,-,
DR.RAMANANDA PAI,,,0,
OPD,,,"1, 2",
IP PHARMACY,,,0,
ORTHO OT,,,1,
X-RAY,9e76acff-5d65-43b2-aa43-6e72c833ab1d,,0,
FIRST FLOOR,63efcd16-60c6-4a48-a575-3231f2791c78,,1,
CLAIM,,,0,
ACCOUNTS & ADMINISTRATION,,,3,
OPERATION THEATRE,d4719566-37e2-435c-bc0f-cfa4296736f4,,1,
PHARMACY,b230105a-e559-4be0-bc9c-14213d49a4cf,,0,
MAIN STORE,,,0,
PURCHASE RETURN,,,0,
CASUALTY,8992a213-29c4-4349-b3ad-8d2d9d3b7a32,,0,
GENERAL STORE,2ba4ad18-1eeb-4868-b128-2b5f0d34f3b7,,0,
DAMAGE,,,,
LABORATORY,54c149b1-a1e4-4354-9a60-5b1325c9c975,,2,
FRONT OFFICE,,,0,
ICU (ICCU),405f2249-b2e8-4b62-b9f3-bdc454655d5c,,iccu - 0,
LABOUR ROOM (Suit 1),5c24698b-b70e-4c19-b2ce-7bb3098305c2,,3,
LABOUR ROOM (Suit 2),914d1c60-ecad-458b-af3d-c1803a6e1391,,3,
POST OP,4a40726d-7ee0-4e2e-b366-8535e03ec420,,2,
CASH & BILLING,,,0,
SECOND FLOOR,f7656b63-9498-405d-8d4b-15c061a4b212,,,
GROUND FLOOR,3757f851-fad1-4506-945a-23faa1b8055e,,,
G WARD,,,"4, rh","4- 8 beds, rh - 4 beds"
NICU,31e90f2f-e2cd-462f-b648-9d0f2869790b,,,3
OFFICE,062daf15-f000-4103-ab6c-82a44326cea5,,,3
AMAS PHARMACY,,,,-
CT-SCAN,1b1600ef-6c0f-4b11-bc26-c49ef37a055b,,,0
DIALYSIS ROOM,284270f1-1340-4593-aa4c-295c8da71651,,,2
SSMM SLTC AMBALAMUGAL,,,,-
ISC (ISCU),cdb90f79-d7ab-4d6d-9035-2bda7ebb4b89,,,iscu - 2
COVID 19 PHARMACY,,,,-
CHEMOTHERAPY WARD,a76fb705-99b3-412f-9aa9-8e8b15f24b48,,,2
ROUND TABLE INDIA TRUST PHA,,,,-
DENTAL,08e8410c-518e-47d7-aff1-2c643db44d06,,,2
TERMINAL ICU (ISCU),cdb90f79-d7ab-4d6d-9035-2bda7ebb4b89,,,iscu - 2
CENTRAL STERILE SUPPLY DEPARTM,a6d8cd91-a023-4fae-84a7-56b4456452e4,,,5
